"subject","session","ID","age","male","Rfooted","Rhanded","education","bilingual","languages","centre","date","AoA.English","nativeEnglish","mother.LH","father.LH","siblings","siblings.LH","Nhandknown","NLHrelative","famsin","EHI.LI","Reyed","lexTALE","lexExclude","lexCode","gramerrs","gramerr12","DLsame.corr","excludeDL","DL.L","DL.R","DL.even.L","DL.odd.L","DL.even.R","DL.odd.R","DL.LI","DL.odd.LI","DL.even.LI","DL.odd.n","DL.odd.zlat","DL.even.n","DL.even.zlat","DL.n","DL.zlat","RDT.pcorr","RDT.Lmean","RDT.Lsd","RDT.LN","RDT.Rmean","RDT.Rsd","RDT.RN","RDT.LI","RDT.se","RDT.zlat","excludeRDT","RDT.odd.pcorr","RDT.odd.Lmean","RDT.odd.Lsd","RDT.odd.LN","RDT.odd.Rmean","RDT.odd.Rsd","RDT.odd.RN","RDT.odd.LI","RDT.odd.se","RDT.odd.zlat","RDT.even.pcorr","RDT.even.Lmean","RDT.even.Lsd","RDT.even.LN","RDT.even.Rmean","RDT.even.Rsd","RDT.even.RN","RDT.even.LI","RDT.even.se","RDT.even.zlat","WC_pCorr","excludeWC","WC.pcorr","WC.Lmean","WC.Lsd","WC.LN","WC.Rmean","WC.Rsd","WC.RN","WC.LI","WC.se","WC.zlat","WC.odd.pcorr","WC.odd.Lmean","WC.odd.Lsd","WC.odd.LN","WC.odd.Rmean","WC.odd.Rsd","WC.odd.RN","WC.odd.LI","WC.odd.se","WC.odd.zlat","WC.even.pcorr","WC.even.Lmean","WC.even.Lsd","WC.even.LN","WC.even.Rmean","WC.even.Rsd","WC.even.RN","WC.even.LI","WC.even.se","WC.even.zlat","colourScales.L","colourScales.R","colourScales_zlat","Emot_corr_same","Emot_corr_diff","exCF","CF.L","CF.R","CF.LI","CF.zlat"
13427087,1,3427087,21,0,1,1,3,"No",NA,"LANC","23/03/2021 14:09:38",NA,1,"No","Yes","1","0",3,1,0.33,64.7058823529412,0,87.5,0,"Advanced",3,0,1,0,45,33,23,22,14,19,-15.4,-7.3,-24.3,41,-0.469780565694565,37,-1.52540596368221,78,-1.37510330190466,0.879396984924623,778.023222222045,178.644162042191,90,876.756294125088,191.260377296533,85,-6,28.0486273827589,-3.52006786484438,0,0.9,759.531249993333,175.909997422772,44,848.317173929662,194.623602497908,46,-5.5,39.4054827541776,-2.25313630821886,0.858585858585859,795.711195658204,181.370020473469,46,910.299871791488,184.044713261279,39,-6.7,39.9888913852429,-2.86551270024882,0.949074074074074,0,0.949074074074074,901.274077677919,163.749036184257,103,923.950257733915,121.980420785933,97,-1.2,20.5530863782983,-1.10329804675662,0.925925925925926,926.86046296472,172.739098553226,54,915.750465114861,102.958871450175,43,0.6,29.9307918056563,0.37118957366705,0.972222222222222,873.076836749608,149.946868258181,49,930.479722226866,135.840485097254,54,-3.2,28.2841375052985,-2.0295080755602,23,17,-0.959539531510802,1,0.826086956521739,0,7,12,26.3157894736842,1.18898716401418
13428087,1,3428087,22,0,1,1,5,"No",NA,"LANC","23/03/2021 15:16:52",NA,1,"Yes","No","0","0",2,1,0.5,100,0,96.25,0,"Advanced",2,0,0.89,0,36,35,20,16,17,18,-1.4,5.9,-8.1,34,0.343592135468138,37,-0.49482617268741,71,-0.118689938862995,0.813725490196078,726.668012820541,140.525132741569,78,690.015738636423,153.605339693929,88,2.6,23.030625236542,1.59145806106747,0,0.831683168316832,740.011590909178,150.368027518312,44,687.433375000044,167.713726871856,40,3.7,34.9392694817129,1.50484588513373,0.796116504854369,709.399852941129,126.768344147819,34,692.167708333405,142.564157218295,48,1.2,30.7538283962271,0.560325185720228,0.875,0,0.875,688.50284210526,93.4924094702155,95,693.704222222194,106.681031695128,90,-0.4,14.7734859256236,-0.35207534248318,0.87962962962963,699.589596774125,96.8922261482233,62,677.650624999811,95.192824561362,32,1.6,21.0773476024053,1.04087915558265,0.87037037037037,667.673181818302,84.2290589036374,33,702.561379310406,112.326752713885,58,-2.5,22.632117283447,-1.54153484869138,29,11,-3.1869640430843,1,0.541666666666667,0,8,5,-23.0769230769231,-0.855131568824353
13439824,1,3439824,20,0,1,0,3,"No",NA,"LINC","24/03/2021 14:58:39",NA,1,"No","No","2","1",4,1,0.25,-33.3333333333333,1,96.25,0,"Advanced",5,0,0.89,0,37,30,18,19,14,16,-10.4,-8.6,-12.5,35,-0.508965669403722,32,-0.712696645099798,67,-0.859892094634213,0.714285714285714,883.565652173802,211.320218146843,69,815.235789473885,215.577137156662,76,4,35.6386613706165,1.91729599463164,1,0.712871287128713,879.685517241561,206.729879001384,29,819.275697674362,210.708533760387,43,3.6,50.6136879327661,1.19354708250949,0.715686274509804,886.378749999676,217.162824620206,40,809.971666667204,224.942824327973,33,4.5,52.2801981547692,1.46149184642106,0.861111111111111,0,0.861111111111111,767.028478260725,86.029956323532,92,732.81033333341,120.608643194863,90,2.3,15.5600551723028,2.19910177363793,0.861111111111111,769.929047619021,71.9323027883247,42,742.309897959117,111.700326173192,49,1.8,20.2273479404699,1.36543602953726,0.861111111111111,764.591999999756,96.9652025161433,50,721.457195122199,130.961147143527,41,2.9,24.0938095463402,1.79028579082088,30,10,-3.65148371670111,0.875,0.875,0,13,8,-23.8095238095238,-1.12339629284115
13440843,1,3440843,22,0,1,1,5,"No",NA,"LINC","24/03/2021 16:00:03",NA,1,"No","No","2","1",4,1,0.25,78.9473684210526,0,90,0,"Advanced",3,0,0.78,0,30,30,13,17,16,14,0,-9.7,10.3,31,-0.54135683877712,29,0.560090995354258,60,0,0.848484848484849,808.953734175184,163.002238334045,79,783.058258423613,190.392678580931,89,1.6,27.6168390614346,0.937669792475728,0,0.848484848484849,825.698461535817,159.920120341344,39,788.133666664362,192.700763826814,45,2.3,39.2762131970308,0.956426086267771,0.848484848484849,792.627624998567,166.334023487687,40,777.867499995574,190.08702437453,44,0.9,39.4130445781637,0.374498472801835,0.87962962962963,0,0.87962962962963,712.257295918214,112.401382493271,98,731.733953486857,94.2937452209247,86,-1.3,15.4509321125629,-1.26054903527842,0.888888888888889,711.373365381195,113.439278832744,52,733.386750001227,88.8314078059069,40,-1.5,21.8554168903722,-1.0072278525023,0.87037037037037,713.25652174267,112.460001685973,46,730.296739126535,99.7560752920754,46,-1.2,22.2728465857569,-0.765066886186107,22,18,-0.635641726163728,1,0.608695652173913,0,8,6,-14.2857142857143,-0.540061724867322
13445616,1,3445616,22,1,1,1,3,"Yes","Romanian, English","LINC","25/03/2021 00:23:51","",0,"No","No","0","0",2,0,0,68.4210526315789,1,92.5,0,"Advanced",1,0,0.83,0,24,41,9,15,21,20,26.2,14.3,40,35,0.853912563829966,30,2.39045721866879,65,2.18463081288759,0.943877551020408,1232.39433333309,562.222458895343,90,1260.41263157906,560.970158102416,95,-1.1,82.8313801369687,-0.338257049437625,0,0.938775510204082,1178.26359999992,520.799122362605,50,1279.63476190503,524.406483276201,42,-4.1,109.962017618429,-0.921874335344358,0.948979591836735,1300.05774999955,610.010075639679,40,1245.17999999999,592.869842796537,53,2.2,126.397812036773,0.434166929911622,0.930555555555556,0,0.930555555555556,837.882421052735,136.188680208683,95,851.656329787071,145.127781366317,94,-0.8,20.5280449510743,-0.670980055195875,0.916666666666667,852.152499999884,128.104171841166,46,832.31351063799,122.003803771061,47,1.2,26.0725359065592,0.760915218718804,0.944444444444444,824.486020408474,143.382504384417,49,870.999148936151,164.111341474201,47,-2.7,31.6060720999761,-1.47165166176129,30,10,-3.65148371670111,0.75,0.826086956521739,0,12,7,-26.3157894736842,-1.18898716401418
13448684,1,3448684,39,0,1,0,5,"Yes","Welsh and English","BANG","25/03/2021 11:41:15","0",1,"No","No","1","0",3,0,0,-33.3333333333333,0,97.5,0,"Advanced",2,0,1,0,19,56,7,12,30,26,49.3,36.8,62.2,38,2.44293854158239,37,4.8271306669895,75,4.91169675749572,0.823529411764706,843.10977272722,203.007394132233,88,818.866437499901,214.821893723375,80,1.5,32.3444670313204,0.749535776979823,0,0.861386138613861,846.611000000079,214.440077823319,45,832.811071428513,200.017575732307,42,0.8,44.7849608809855,0.308137560022407,0.786407766990291,839.445697674228,192.78628572522,43,803.453947368277,231.811040155715,38,2.2,47.5481550778614,0.756953666173029,0.907407407407407,0,0.907407407407407,746.170677083304,100.694549916675,96,769.530388888942,111.116195072725,90,-1.5,15.5791122243214,-1.49942509363081,0.898148148148148,741.196923076936,89.7583356505004,52,778.00755813955,127.996367570228,43,-2.4,22.5731040202077,-1.63072987346626,0.916666666666667,752.04874999992,113.049805046418,44,761.774680851151,93.8152507672919,47,-0.6,21.8228480752098,-0.445676513794692,33,7,-5.40962746074711,1,0.91304347826087,0,16,5,-52.3809523809524,-2.81791146063889
13488047,1,3488047,35,1,1,1,5,"No",NA,"LANC","29/03/2021 18:15:13",NA,1,"No","Don't know","0","0",2,0,0,62.5,1,87.5,0,"Advanced",3,0,0.83,0,18,38,12,6,18,20,35.7,53.8,20,26,3.25832267687942,30,1.11803398874989,56,2.86131691759651,0.732984293193717,1228.67130767554,409.556483493618,65,1144.85253331251,382.888348507193,75,3.5,67.2467049385399,1.24643689887306,1,0.705263157894737,1256.13413790466,471.767740451212,29,1179.52105262635,415.925068224318,38,3.1,109.443366610413,0.700024932082206,0.760416666666667,1206.5484722132,357.124680032537,36,1109.24702699019,347.823123054699,37,4.2,83.0714806814033,1.17129783199815,0.893518518518518,0,0.893518518518518,1034.242142872,255.211194345411,91,1024.05366279066,270.982906275505,86,0.5,39.6706407124058,0.256826708578015,0.935185185185185,1029.12896227548,249.624441538045,53,999.478690492521,232.669927566165,42,1.5,50.3023394987721,0.589441208468777,0.851851851851852,1041.37368423031,266.021067966937,38,1047.51159089342,303.949709416807,44,-0.3,64.0089570786225,-0.0958913711962734,27,13,-2.36305852319522,0.75,0.521739130434783,0,4,8,33.3333333333333,1.22474487139159
13495898,1,3495898,29,0,1,1,5,"Yes","English & Afrikaans ","Ox","03/04/2021 15:04:01","0",1,"No","No","2","0",4,0,0,70,1,90,0,"Advanced",1,0,0.94,0,34,35,18,16,18,17,1.4,3,0,33,0.174157636504809,36,0,69,0.120398497994484,0.873096446700508,947.935574714111,269.498761402477,87,897.9986470583,255.424867717824,85,2.7,40.1660319495813,1.24326265832019,0,0.887755102040816,939.767926830582,285.142819351819,41,866.071847822953,261.996465710362,46,4.1,58.9795452904888,1.24951928070416,0.858585858585859,955.215434784212,257.712761165295,46,935.655897438454,245.444088332549,39,1,55.2021428099537,0.35432569009315,0.944444444444444,0,0.944444444444444,915.993645835139,137.307088082131,96,963.043989361626,157.783231785205,94,-2.5,21.5099050106997,-2.18738034887099,0.953703703703704,899.744204551098,138.654932539223,44,973.68221153738,162.074804726027,52,-3.9,31.2843065169266,-2.3634216390981,0.935185185185185,929.743173075482,135.973307134344,52,949.872857144025,153.212317887879,42,-1.1,30.0393936820265,-0.670109532889371,31,9,-4.16505345114514,1,0.9,0,15,3,-66.6666666666667,-3.79473319220206
13495903,1,3495903,28,0,1,1,5,"No",NA,"Ox","05/04/2021 12:19:04",NA,1,"Don't know","No","1","0",2,0,0,100,0,98.75,0,"Advanced",3,0,1,0,25,42,11,14,22,20,25.4,17.6,33.3,34,1.04539807865575,33,2.03100960115899,67,2.1471465006464,0.968085106382979,898.203722221984,253.750752527064,90,909.261467395244,251.415686263271,92,-0.6,37.5490902849387,-0.294487698352998,0,0.957446808510638,887.373068182073,247.649962148382,44,898.914891306523,237.332477544229,46,-0.6,51.3987344555296,-0.22455461689308,0.978723404255319,908.563478260159,261.761156058708,46,919.608043483965,266.980882930698,46,-0.6,55.4392867731036,-0.19921910736348,0.921296296296296,0,0.921296296296296,816.194175257703,127.388491758521,97,868.643489583216,141.063870977755,96,-3.1,19.3995257363126,-2.70363899810896,0.935185185185185,817.635666666966,130.101839068404,45,876.835480767813,154.944173114581,52,-3.5,29.4908874212831,-2.00739344514004,0.907407407407407,814.946730768917,126.253056894539,52,858.962045455965,123.740178457499,44,-2.6,25.7600722066801,-1.70866425893147,28,12,-2.76026223736942,0.875,0.727272727272727,0,7,9,12.5,0.50395263067897
13495925,1,3495925,29,0,1,0,7,"No",NA,"LINC","17/04/2021 09:00:04",NA,1,"No","No","1","0",3,0,0,-100,0,98.75,0,"Advanced",1,0,1,0,32,36,16,16,21,15,5.9,-3.2,13.5,31,-0.179698822107065,37,0.82960475385514,68,0.485912657903775,0.9,797.562500003043,216.946889126496,86,709.868510638889,200.159440938497,94,5.8,31.1694157519166,2.81346272455433,0,0.9,744.771136375758,172.115327025636,44,707.021521740978,214.216608341046,46,2.6,41.3556483982787,0.912804322912062,0.9,852.86773808877,245.729304863494,42,712.596874999387,187.945749445408,48,9,46.0009504665906,3.0493035832218,0.916666666666667,0,0.916666666666667,924.317142855796,170.403631442834,91,941.777091839218,176.09676822471,98,-0.9,25.3099330363368,-0.689845720190388,0.888888888888889,900.347613634287,161.725344863498,44,962.028899993748,194.398179672587,50,-3.3,37.4149184995073,-1.64857465506099,0.944444444444444,946.756702126995,176.915065615339,47,920.681458344916,153.980309534415,48,1.4,34.1647119757838,0.763221531051134,28,12,-2.76026223736942,0.571428571428571,0.952380952380952,1,11,9,-10,-0.449466574975495
